Name,trajectnaam nieuw 2024,trajectnaam 2023,raai,afstand,RD X,RD Y,Gebruik,Opmerking
"Hierd0, geschrapt 5, 150",Hierd0,Hierd0,geschrapt 5,150,177765.4525,479840.432,"Nat, deels open",
"Hierd1, 5, 0",Hierd1,,5,0,177278.0954,480697.912,"Gekanaliseerd, loof en den",
"Hierd1, 5, 25",Hierd1,,5,25,177303.0954,480695.9336,"Gekanaliseerd, loof en den",
"Hierd1, 5, 50",Hierd1,,5,50,177353.0954,480693.9552,"Gekanaliseerd, loof en den",
"Hierd1, 5, 100",Hierd1,,5,100,177403.0954,480691.9768,"Gekanaliseerd, loof en den",
"Hierd1, 5, 150",Hierd1,,5,150,177453.0954,480689.9984,"Gekanaliseerd, loof en den",
"Hierd1, 4, 0",Hierd1,,4,0,177276.7021,480648.4517,"Gekanaliseerd, loof en den",
"Hierd1, 4, 25",Hierd1,,4,25,177301.7021,480646.5197,"Gekanaliseerd, loof en den",
"Hierd1, 4, 50",Hierd1,,4,50,177351.7021,480644.5877,"Gekanaliseerd, loof en den",
"Hierd1, 4, 100",Hierd1,,4,100,177401.7021,480642.6558,"Gekanaliseerd, loof en den",
"Hierd1, 4, 150",Hierd1,,4,150,177451.7021,480640.7238,"Gekanaliseerd, loof en den",
"Hierd1, 3, 0",Hierd1,,3,0,177276.2377,480600.1524,"Gekanaliseerd, loof en den",
"Hierd1, 3, 25",Hierd1,,3,25,177301.2377,480598.1089,"Gekanaliseerd, loof en den",
"Hierd1, 3, 50",Hierd1,,3,50,177351.2377,480596.0655,"Gekanaliseerd, loof en den",
"Hierd1, 3, 100",Hierd1,,3,100,177401.2377,480594.0221,"Gekanaliseerd, loof en den",
"Hierd1, 3, 150",Hierd1,,3,150,177451.2377,480591.9786,"Gekanaliseerd, loof en den",
"Hierd1, 2, 0",Hierd1,,2,0,177276.2377,480549.0666,"Gekanaliseerd, loof en den",
"Hierd1, 2, 25",Hierd1,,2,25,177301.2377,480547.0789,"Gekanaliseerd, loof en den",
"Hierd1, 2, 50",Hierd1,,2,50,177351.2377,480545.0912,"Gekanaliseerd, loof en den",
"Hierd1, 2, 100",Hierd1,,2,100,177401.2377,480543.1035,"Gekanaliseerd, loof en den",
"Hierd1, 2, 150",Hierd1,,2,150,177451.2377,480541.1158,"Gekanaliseerd, loof en den",
"Hierd1, 1, 0",Hierd1,,1,0,177274.8445,480499.374,"Gekanaliseerd, loof en den",
"Hierd1, 1, 25",Hierd1,,1,25,177299.8445,480498.374,"Gekanaliseerd, loof en den",
"Hierd1, 1, 50",Hierd1,,1,50,177349.8445,480497.374,"Gekanaliseerd, loof en den",
"Hierd1, 1, 100",Hierd1,,1,100,177399.8445,480496.374,"Gekanaliseerd, loof en den",
"Hierd1, 1, 150",Hierd1,,1,150,177449.8445,480495.374,"Gekanaliseerd, loof en den",
